intensity	intU	qVal
3.1999787e+10	140894.89	0.0024999999
4.0000143e+09	60951.211	0.0049999999
1.1851543e+09	886.11749	0.0074999998
4.9999517e+08	31899.936	0.0099999998
2.5600115e+08	27233.494	0.0125
1.4814702e+08	5904.8936	0.015
93281160	23478.441	0.0175
62507240	2829.6082	0.02
43911624	5000.2534	0.022500001
31996742	362.21484	0.025
24048664	3628.0554	0.0275
18508976	6165.9292	0.029999999
14563753	4584.1729	0.032499999
11660245	4512.3643	0.035
9480584	3315.6218	0.037500001
7813645.5	1382.0138	0.039999999
6513248.5	1184.5608	0.0425
5487671	793.38824	0.045000002
4667040	2253.3215	0.047499999
4003004.2	2170.9778	0.050000001
3458962.8	556.84265	0.052499998
3007601.2	1217.5068	0.055
2628828.5	948.72565	0.057500001
2315407.5	659.52087	0.059999999
2049041	617.38611	0.0625
1822337.1	420.45493	0.064999998
1626900.2	1578.7124	0.067500003
1460150.5	2833.0217	0.07
1313090.1	1516.0369	0.072499998
1183020	2082.1699	0.075000003
1075039.4	330.05658	0.077500001
978634.88	1461.2441	0.079999998
890616.81	336.91577	0.082500003
814787.38	188.61513	0.085000001
746742.69	935.5824	0.087499999
685522.56	186.45171	0.090000004
632668.88	108.28828	0.092500001
583976.94	246.89384	0.094999999
540430.19	495.90851	0.097499996
500205.88	724.42493	0.1
465315.88	470.68732	0.1025
431903.91	1165.3615	0.105
403793.09	362.33621	0.1075
376936.5	225.75064	0.11
351921.53	1049.4185	0.1125
329140.53	158.57498	0.115
308433.03	506.53922	0.1175
289776.78	735.75616	0.12
272559.66	180.23584	0.1225
257322.03	22.89776	0.125
242176.41	258.46832	0.1275
227979.92	390.04684	0.13
215542.83	70.461891	0.13249999
203860.06	877.65295	0.13500001
192513.5	612.59772	0.1375
183699.98	751.89862	0.14
173503.11	506.72949	0.1425
164832.83	439.80389	0.145
156996.69	36.767307	0.14749999
149811.69	244.45975	0.15000001
141959.98	555.1748	0.1525
134967.3	102.13547	0.155
129174.31	60.621983	0.1575
123728.43	517.9491	0.16
116634.27	138.62924	0.16249999
111993.7	177.3246	0.16500001
107103.19	747.12	0.1675
102948.27	1.8041334	0.17
98208.852	608.20453	0.1725
93881.25	236.67241	0.175
90356.953	91.623306	0.17749999
86525.742	51.054501	0.18000001
83339.367	62.630272	0.1825
79488.656	143.06436	0.185
76986.664	322.78339	0.1875
73887.18	251.22479	0.19
70597.945	23.92663	0.1925
68370.258	169.28279	0.19499999
65608.141	34.117203	0.19750001
63399.746	215.94365	0.2
61068.113	313.1011	0.2025
58547.559	461.68494	0.205
56845.824	36.310299	0.2075
54835.586	93.649139	0.20999999
53284.012	24.269463	0.21250001
51116.645	414.94095	0.215
49446.68	205.19647	0.2175
47940.359	180.88068	0.22
46344.703	151.89267	0.2225
45056.121	169.93663	0.22499999
43153.262	267.11832	0.22750001
42138.414	292.66943	0.23
40790.684	37.346825	0.2325
39348.43	366.34705	0.235
38241.941	77.736305	0.2375
37223.137	92.250381	0.23999999
36171.047	318.57501	0.24250001
35069.871	122.14252	0.245
34166.98	431.93341	0.2475
32955.684	271.54639	0.25
32288.982	186.31827	0.2525
31035.793	27.246874	0.255
30486.891	180.02528	0.25749999
29377.881	65.784363	0.25999999
28783.779	171.83086	0.26249999
28402.312	97.654938	0.26499999
27497.9	112.41921	0.26750001
26956.797	270.78003	0.27000001
26017.498	122.3502	0.27250001
25439.646	73.39019	0.27500001
24891.602	380.98993	0.2775
24261.094	145.47469	0.28
23440.217	99.982628	0.2825
23452.205	92.72303	0.285
22669.506	48.332497	0.28749999
22329.486	44.862087	0.28999999
21979.67	47.108524	0.29249999
21230.281	159.5201	0.29499999
20983.961	47.320057	0.29750001
20508.762	83.666344	0.30000001
20093.953	145.18909	0.30250001
19908.869	21.519989	0.30500001
19403.508	124.03778	0.3075
19193.689	13.305991	0.31
18846.793	15.01525	0.3125
18951.967	93.311165	0.315
18626.854	162.18918	0.3175
18631.92	86.878372	0.31999999
18424.127	209.84738	0.32249999
18448.936	180.01782	0.32499999
18518.885	39.722336	0.32749999
18359.688	47.734867	0.33000001
18409.084	139.92815	0.33250001
18741.82	49.359707	0.33500001
19029.574	137.76268	0.33750001
19692.229	52.898018	0.34
20529.037	190.5486	0.3425
21129.771	193.72878	0.345
22684.311	115.7686	0.3475
23687.32	128.81978	0.34999999
25860.377	100.55669	0.35249999
28278.48	49.142483	0.35499999
31270.277	161.86386	0.35749999
34385.035	40.241627	0.36000001
38497.645	80.766029	0.36250001
41512.016	291.89883	0.36500001
43800.379	13.199521	0.36750001
44653.609	33.094952	0.37
43032.039	49.461987	0.3725
39855.617	25.895958	0.375
35801.883	8.622303	0.3775
31550.312	34.289734	0.38
28175.932	142.95978	0.38249999
25220.469	209.45662	0.38499999
22183.66	297.23819	0.38749999
20426.781	192.6499	0.38999999
18287.963	11.80943	0.39250001
16839.131	82.522285	0.39500001
15457.868	14.93423	0.39750001
14746.573	57.614803	0.40000001
13659.668	145.47867	0.4025
13104.204	12.445396	0.405
12187.548	131.1712	0.4075
11779.525	32.465313	0.41
11331.569	83.294731	0.41249999
10605.438	86.411903	0.41499999
10381.188	120.93568	0.41749999
10174.867	161.32266	0.41999999
9536.0781	83.178917	0.42250001
9279.5713	43.949451	0.42500001
8961.7861	68.201675	0.42750001
8914.585	106.82252	0.43000001
8571.1445	33.865231	0.4325
8521.2168	113.67706	0.435
8106.9053	90.984734	0.4375
7998.4438	152.10759	0.44
7763.2734	9.9049759	0.4425
7572.1279	91.160988	0.44499999
7525.877	36.193291	0.44749999
7237.9458	14.150804	0.44999999
7000.7627	44.644608	0.45249999
7152.7788	94.231285	0.45500001
6875.6362	25.867781	0.45750001
6882.604	38.651749	0.46000001
6634.2397	97.859055	0.46250001
6458.0771	3.5309727	0.465
6496.3853	72.234512	0.4675
6425.7402	15.29754	0.47
6276.3677	191.51891	0.4725
6187.5244	86.006844	0.47499999
5975.4761	26.445705	0.47749999
5855.5977	161.40314	0.47999999
5823.085	32.113647	0.48249999
5703.1333	108.1588	0.48500001
5669.4771	74.69648	0.48750001
5635.9609	65.525185	0.49000001
5505.8242	43.792976	0.49250001
5392.6016	11.416232	0.495
5402.1387	91.711143	0.4975
5330.9932	37.95293	0.5
5202.1484	15.558462	0.5025
5078.7891	136.04585	0.505
5132.0151	43.527058	0.50749999
4986.7397	2.5377927	0.50999999
4895.688	78.576546	0.51249999
4888.856	129.48788	0.51499999
4875.1484	21.271086	0.51749998
4753.2271	36.115437	0.51999998
4810.8564	157.91121	0.52249998
4727.3394	40.79958	0.52499998
4677.5039	19.764338	0.52749997
4451.3545	129.42978	0.52999997
4576.8789	32.602051	0.53250003
4571.9077	68.719742	0.53500003
4449.9487	37.691231	0.53750002
4546.1133	113.95775	0.54000002
4469.9746	16.98793	0.54250002
4339.272	51.408554	0.54500002
4366.4868	35.808643	0.54750001
4216.7915	23.712164	0.55000001
4208.2881	39.176926	0.55250001
4073.9888	40.58493	0.55500001
4126.4854	24.926287	0.5575
4128.686	64.523796	0.56
4152.5713	146.81726	0.5625
4049.8013	59.268219	0.565
3933.6538	141.10049	0.5675
4006.3325	30.299475	0.56999999
3843.7637	35.319199	0.57249999
3984.615	37.255707	0.57499999
3903.0547	73.886955	0.57749999
3863.6562	56.911407	0.57999998
3914.8733	56.044472	0.58249998
3849.105	46.986141	0.58499998
3918.6006	34.750584	0.58749998
3819.5881	26.926819	0.58999997
3760.1516	88.364021	0.59249997
3822.8347	27.552162	0.59500003
3779.0203	70.130409	0.59750003
3888.8516	93.452324	0.60000002
3832.0583	39.05357	0.60250002
3786.0654	35.188286	0.60500002
3780.9919	130.74576	0.60750002
3798.3979	17.896652	0.61000001
3699.8345	50.528687	0.61250001
3816.1892	21.744827	0.61500001
3799.2964	82.303627	0.61750001
3752.4971	102.66273	0.62
3725.6074	33.589008	0.6225
3824.2996	20.972961	0.625
3679.7344	5.6291471	0.6275
3736.3218	4.1735168	0.63
3856.8469	112.76106	0.63249999
3958.2585	89.37365	0.63499999
3822.3491	74.122581	0.63749999
3961.9155	88.69413	0.63999999
3920.6946	113.077	0.64249998
3965.8325	167.34775	0.64499998
4157.8472	9.2451868	0.64749998
4125.2114	20.902069	0.64999998
4243.9487	13.964624	0.65249997
4227.1982	2.4436817	0.65499997
4228.8018	13.151093	0.65750003
4385.5342	7.5822749	0.66000003
4603.2861	104.16361	0.66250002
4507.1621	11.493212	0.66500002
4741.896	45.984238	0.66750002
4705.7344	58.643665	0.67000002
4870.5259	20.519045	0.67250001
4980.0903	61.745319	0.67500001
5160.7114	33.524734	0.67750001
5253.3931	16.530746	0.68000001
