# shape width height thickness Msat hc b c beta gamma
ellipse 220 80 5 860000 0.0662 1.017 1.0 2.93 2.95
ellipse 330 120 5 860000 0.0426 1.046 1.0 2.6 2.88
ellipse 470 170 5 860000 0.0277 1.084 1.0 2.68 2.29
ellipse 220 80 10 860000 0.1022 1.043 1.0 2.67 2.91
ellipse 330 120 10 860000 0.0657 1.067 1.0 2.69 2.31
ellipse 470 170 10 860000 0.0465 1.058 1.0 3.27 1.84
ellipse 220 80 20 860000 0.1483 1.021 1.0 2.46 2.53
ellipse 220 110 20 860000 0.0874 0.998 1.0 2.03 3.11
ellipse 330 120 20 860000 0.107 0.971 1.0 2.73 2.09
ellipse 470 170 20 860000 0.0785 0.911 1.0 2.8 1.85
rectangle 220 80 5 860000 0.0792 0.53 1.0 2.37 3.25
rectangle 330 120 5 860000 0.0645 0.468 1.0 2.54 3.38
rectangle 470 170 5 860000 0.055 0.402 1.0 2.95 3.29
rectangle 220 80 10 860000 0.1122 0.594 1.0 2.05 3.32
rectangle 330 120 10 860000 0.0898 0.521 1.0 1.97 3.85
rectangle 470 170 10 860000 0.0759 0.442 1.0 1.91 4.71
rectangle 220 80 20 860000 0.1466 0.628 1.0 1.65 2.88
rectangle 330 120 20 860000 0.1129 0.593 1.0 1.73 2.83
rectangle 470 170 20 860000 0.0929 0.511 1.0 1.48 3.67
stadium 220 70 5 860000 0.0949 0.462 1.0 2.26 3.2
stadium 220 80 5 860000 0.0785 0.461 1.0 2.17 3.04
stadium 330 80 5 860000 0.0894 0.421 1.0 2.36 2.6
stadium 440 80 5 860000 0.094 0.405 1.0 2.47 2.54
stadium 220 90 5 860000 0.0806 0.405 1.0 2.53 3.37
stadium 220 100 5 860000 0.075 0.376 1.0 2.69 3.42
stadium 330 120 5 860000 0.0833 0.284 1.0 2.36 3.9
stadium 470 170 5 860000 0.0837 0.182 1.0 2.52 4.15
stadium 220 70 10 860000 0.1547 0.411 1.0 1.99 3.26
stadium 220 80 10 860000 0.1303 0.404 1.0 1.73 3.52
stadium 330 80 10 860000 0.1477 0.375 1.0 2.35 2.45
stadium 440 80 10 860000 0.1433 0.39 1.0 2.42 2.23
stadium 220 90 10 860000 0.1372 0.355 1.0 1.95 4.36
stadium 220 100 10 860000 0.1301 0.339 1.0 2.01 4.99
stadium 330 120 10 860000 0.1358 0.244 1.0 2.08 3.7
stadium 440 120 10 860000 0.1404 0.243 1.0 2.38 2.9
stadium 550 120 10 860000 0.1414 0.245 1.0 2.49 2.67
stadium 660 120 10 860000 0.1419 0.245 1.0 2.49 2.63
stadium 470 170 10 860000 0.1524 0.141 1.0 2.72 3.17
stadium 220 70 20 860000 0.2257 0.367 1.0 1.8 2.84
stadium 220 80 20 860000 0.1898 0.366 1.0 1.68 2.75
stadium 330 80 20 860000 0.2131 0.354 1.0 2.38 1.95
stadium 440 80 20 860000 0.2321 0.331 1.0 2.44 2.03
stadium 220 90 20 860000 0.1951 0.311 1.0 1.62 3.69
stadium 220 100 20 860000 0.186 0.293 1.0 1.57 4.58
stadium 330 120 20 860000 0.2206 0.193 1.0 2.37 2.53
stadium 470 170 20 860000 0.2313 0.116 1.0 3.39 1.61
stadium 220 80 25 860000 0.2013 0.367 1.0 1.79 2.16
stadium 330 80 25 860000 0.2309 0.352 1.0 2.44 1.71
stadium 440 80 25 860000 0.2553 0.325 1.0 2.49 1.81
